cpu_usage,mem_usage
100.0,5242.88
100.0,5242.88
100.0,5242.88
100.0,5242.88
100.0,5242.88
100.0,5242.88
100.0,5242.88
100.0,5242.88
1144.0000000000002,26214.4
1144.0000000000002,26214.4
1144.0000000000002,26214.4
1144.0000000000002,26214.4
1144.0000000000002,26214.4
1144.0000000000002,26214.4
1044.0,20971.52
1044.0,20971.52
1044.0,20971.52
1044.0,20971.52
1044.0,20971.52
1044.0,20971.52
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
522.0,10485.76
592.0000000000001,20971.52
592.0000000000001,20971.52
592.0000000000001,20971.52
592.0000000000001,20971.52
592.0000000000001,20971.52
592.0000000000001,20971.52
70.0,10485.76
70.0,10485.76
70.0,10485.76
70.0,10485.76
70.0,10485.76
70.0,10485.76
70.0,10485.76
70.0,10485.76
70.0,10485.76
70.0,10485.76
70.0,10485.76
70.0,10485.76
70.0,10485.76
70.0,10485.76
70.0,10485.76
138.0,20971.52
138.0,20971.52
138.0,20971.52
138.0,20971.52
138.0,20971.52
138.0,20971.52
68.0,10485.76
68.0,10485.76
68.0,10485.76
160.0,20971.52
160.0,20971.52
160.0,20971.52
160.0,20971.52
160.0,20971.52
160.0,20971.52
92.0,10485.76
92.0,10485.76
92.0,10485.76
92.0,10485.76
92.0,10485.76
92.0,10485.76
182.0,20971.52
182.0,20971.52
182.0,20971.52
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
90.0,10485.76
