cpu_usage,mem_usage
100.0,5242.88
100.0,5242.88
100.0,5242.88
100.0,5242.88
100.0,5242.88
100.0,5242.88
100.0,5242.88
500.0,1498415.104
500.0,1498415.104
500.0,1498415.104
500.0,1498415.104
500.0,1498415.104
500.0,1498415.104
400.0,1493172.224
400.0,1493172.224
400.0,1493172.224
400.0,1493172.224
400.0,1493172.224
400.0,1493172.224
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
200.0,746586.112
400.0,966787.072
400.0,966787.072
400.0,966787.072
400.0,966787.072
400.0,966787.072
400.0,966787.072
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
200.0,220200.96
400.0,457179.136
400.0,457179.136
400.0,457179.136
400.0,457179.136
400.0,457179.136
400.0,457179.136
200.0,236978.176
200.0,236978.176
200.0,236978.176
400.0,513802.24
400.0,513802.24
400.0,513802.24
400.0,513802.24
400.0,513802.24
400.0,513802.24
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
200.0,276824.064
